object,RA,DEC,logAge,age,FeH,Z,E(B-V),field,CTYPE,a,b,flag_u,flag_r,r_logAge,r__M_H_
NGC294,13275,-73.38028,8.52,3.311311214825908E8,-2.18,1.255317551214432E-4,0.0904,MC0115,C,1.7,1.7,0,0,"GGK10,CVH+06,PU99      ",PPV17 
NGC361,15.545833,-71.605835,9.91,8.128305161640995E9,-1.45,6.741454395437934E-4,0.0813,MC0072,C,2.6,2.6,0,0,RGB+07                 ,MSF98 
OGLE-CL SMC  320,7.760833,-72.34055,9.63,4.2657951880159345E9,-1.28,9.971341744745678E-4,0.0543,MC0093,C,0.55,0.55,0,0,DKB+16                 ,DKB+16
Cl Kron 28,12.92375,-71.99834,9.3,1.9952623149688828E9,-1.2,0.0011988189545123673,0.0815,MC0094,C,1.7,1.7,1,1,PGC+14                 ,PSC+01
OGLE-CL SMC  317,6.22625,-73.030556,9.58,3.8018939632056127E9,-1.19,0.0012267430351658457,0.0687,MC0113,C,0.85,0.85,1,1,DKB+16                 ,DKB+16
OGLE-CL SMC  311,6.702083,-71.53472,10.02,1.0471285480508986E10,-1.19,0.0012267430351658457,0.0804,MC0070,C,3.8,3.1,0,0,"GGG+08,DKB+16          ",DH98  
Cl Kron 21,10.350833,-72.89083,9.66,4.570881896148752E9,-1.14,0.0013764283241424816,0.0863,MC0114,C,2.5,2.5,0,0,PGC+14                 ,PGG+09
Cl Lindsay 14,8.170833,-72.58056,9.45,2.818382931264449E9,-1.14,0.0013764283241424816,0.0781,MC0093,C,1.2,1.2,2,0,"GGK10,DKB+16           ",DKB+16
OGLE-CL SMC  325,5.36375,-73.748055,9.71,5.128613839913659E9,-1.08,0.0015803511650950746,0.0655,MC0113,C,2.2,2.2,0,0,"PGC+14,DKB+16          ",PGG+09
Bruck 113,15.7275,-73.337776,8.75,5.623413251903491E8,-1.01,0.0018567507198160402,0.0967,MC0115,C,0.6,0.6,2,0,GGK10                  ,PGC+16
HW52,16.7375,-73.23583,8.15,1.4125375446227553E8,-0.88,0.0025046878032571732,0.0853,MC0115,C,0.5,0.5,3,3,"GGK10,MPS14            ",PPV17 
HW52,16.7375,-73.23583,8.15,1.4125375446227553E8,-0.88,0.0025046878032571732,0.0853,MC0116,C,0.5,0.5,0,0,"GGK10,MPS14            ",PPV17 
Cl Kron 38,14.45625,-73.42306,9.48,3.019951720402019E9,-0.88,0.0025046878032571732,0.0726,MC0115,C,2.2,2.2,2,0,PGC+14                 ,PPV17 
Cl Kron 61,17.262917,-73.08667,8.13,1.348962882591656E8,-0.88,0.0025046878032571732,0.0921,MC0116,C,0.95,0.95,0,0,"GGK10,CVH+06,MPS14     ",PPV17 
Cl Kron 63,17.696667,-72.793335,8.3,1.9952623149688828E8,-0.88,0.0025046878032571732,0.0918,MC0095,C,0.9,0.9,0,0,GGK10                  ,PPV17 
Cl Kron 63,17.696667,-72.793335,8.3,1.9952623149688828E8,-0.88,0.0025046878032571732,0.0918,MC0116,C,0.9,0.9,0,0,GGK10                  ,PPV17 
Cl Lindsay 100,19.570417,-72.00166,9.32,2.0892961308540409E9,-0.88,0.0025046878032571732,0.0792,MC0095,C,1.0,1.0,0,0,"PGC+14,PdGR+15         ",PPV17 
Cl Lindsay 91,18215,-73.118614,9.61,4.073802778041122E9,-0.88,0.0025046878032571732,0.1376,MC0116,C,1.2,1.2,1,0,"GGK10,PGC+14           ",PPV17 
OGLE-CL SMC  319,6.191667,-72.79389,9.81,6.456542290346562E9,-0.85,0.0026838213347832336,0.0693,MC0092,C,3.4,3.4,1,1,"GGS+08,DKB+16          ",PGC+15
OGLE-CL SMC  319,6.191667,-72.79389,9.81,6.456542290346562E9,-0.85,0.0026838213347832336,0.0693,MC0113,C,3.4,3.4,1,1,"GGS+08,DKB+16          ",PGC+15
Bruck 99,15.117917,-73.08611,8.23,1.698243652461746E8,-0.84,0.0027463355644172624,0.0823,MC0115,C,0.75,0.75,0,0,"CVH+06,PU99,MPS14      ",PGC+15
Cl Kron 13,8.92375,-73.5975,9.64,4.365158322401666E9,-0.84,0.0027463355644172624,0.0725,MC0114,C,1.9,1.9,1,1,"GGK10,PGC+14           ",PGG+09
NGC411,16.980417,-71.76778,9.18,1.513561248436207E9,-0.84,0.0027463355644172624,0.0737,MC0095,C,2.1,1.9,0,0,RGB+07                 ,DH98  
NGC330,14.077917,-72.46333,7.63,4.265795188015926E7,-0.82,0.0028757663720287954,0.1098,MC0094,C,2.8,2.5,0,0,"GGK10,CVH+06,PU99      ",DH98  
Cl Kron 44,15.516667,-73.925835,9.48,3.019951720402019E9,-0.81,0.002942751575933714,0.0849,MC0115,C,2.9,2.9,0,0,PGC+14                 ,PGC+15
Cl Kron 44,15.516667,-73.925835,9.48,3.019951720402019E9,-0.81,0.002942751575933714,0.0849,MC0135,C,2.9,2.9,3,3,PGC+14                 ,PGC+15
[BS95] 90,14.77,-72.153336,9.65,4.466835921509635E9,-0.8,0.0030112970656761156,0.0765,MC0094,C,1.0,1.0,1,0,RGB+07                 ,SSN+07
NGC152,8.234583,-73.11583,9.09,1.230268770812381E9,-0.8,0.0030112970656761156,0.0842,MC0114,C,3.0,3.0,0,0,"GGK10,DKB+16           ",DH98  
OGLE-CL SMC 133,15.630417,-72.31834,8.8,6.309573444801943E8,-0.8,0.0030112970656761156,0.0917,MC0094,C,0.8,0.8,3,3,"GGK10,CVH+06           ",PGC+15
OGLE-CL SMC 133,15.630417,-72.31834,8.8,6.309573444801943E8,-0.8,0.0030112970656761156,0.0917,MC0095,C,0.8,0.8,2,0,"GGK10,CVH+06           ",PGC+15
HW40,15.107083,-71.29417,9.56,3.6307805477010174E9,-0.78,0.003153215124131365,0.0696,MC0072,C,0.9,0.9,0,0,"PGC+14,DKB+14          ",PGC+15
Cl Kron 11,9.113333,-72.47833,9.17,1.4791083881682072E9,-0.78,0.003153215124131365,0.0924,MC0093,C,1.1,1.1,0,0,DKB+16                 ,DKB+16
OGLE-CL SMC  324,6.180833,-73.75389,9.15,1.4125375446227555E9,-0.76,0.0033018215746238133,68,MC0113,C,1.8,1.8,0,0,"PGC+14,DKB+16          ",PGG+09
[H86] 97,11.9675,-73.22195,8.37,2.3442288153199178E8,-0.71,0.0037047047395402863,0.1192,MC0114,C,0.7,0.6,3,3,"CVH+06,PU99,MPS14      ",PGC+15
[H86] 97,11.9675,-73.22195,8.37,2.3442288153199178E8,-0.71,0.0037047047395402863,0.1192,MC0115,C,0.7,0.6,0,0,"CVH+06,PU99,MPS14      ",PGC+15
HW31,13.891667,-74.062775,9.66,4.570881896148752E9,-0.7,0.0037909983984408713,0.08,MC0115,C,0.8,0.75,0,0,"GGK10,PGC+14           ",PPV17 
HW31,13.891667,-74.062775,9.66,4.570881896148752E9,-0.7,0.0037909983984408713,0.08,MC0135,C,0.8,0.75,0,0,"GGK10,PGC+14           ",PPV17 
HW63,17.55125,-73.208885,9.71,5.128613839913659E9,-0.7,0.0037909983984408713,0.1167,MC0116,C,0.75,0.75,2,2,"GGK10,PGC+14           ",PPV17 
Cl Kron 8,7.007917,-73.30333,9.47,2.95120922666639E9,-0.7,0.0037909983984408713,0.0704,MC0113,C,1.1,1.1,3,3,DKB+16                 ,PGC+15
Cl Kron 8,7.007917,-73.30333,9.47,2.95120922666639E9,-0.7,0.0037909983984408713,0.0704,MC0114,C,1.1,1.1,1,1,DKB+16                 ,PGC+15
OGLE-CL SMC 196,12.3625,-73.39861,8.23,1.698243652461746E8,-0.7,0.0037909983984408713,0.0904,MC0115,C,0.35,0.35,2,2,"CVH+06,MPS14           ",PPV17 
OGLE-CL SMC  332,6.359583,-74075,9.2,1.5848931924611108E9,-0.63,0.004454034749107852,0.0726,MC0113,C,1.0,1.0,0,0,DKB+16                 ,PGC+15
OGLE-CL SMC  332,6.359583,-74075,9.2,1.5848931924611108E9,-0.63,0.004454034749107852,0.0726,MC0133,C,1.0,1.0,0,0,DKB+16                 ,PGC+15
Bruck 34,11.217083,-73.00166,9.08,1.202264434617413E9,-0.58,0.004997509184601226,0.0845,MC0114,C,0.6,0.6,1,1,"GGK10,CVH+06,PGC+14    ",PPV17 
Cl Kron 55,16.885418,-73.12056,8.52,3.311311214825908E8,-0.58,0.004997509184601226,0.1022,MC0116,C,0.95,0.95,0,0,"GGK10,CVH+06,MPS14     ",PPV17 
[BS95] 75,13.62875,-74.185555,9.25,1.7782794100389228E9,-0.48,0.006291491308169231,0.0798,MC0115,C,1.2,1.2,3,3,"GGK10,MPS14            ",PPV17 
[BS95] 75,13.62875,-74.185555,9.25,1.7782794100389228E9,-0.48,0.006291491308169231,0.0798,MC0135,C,1.2,1.2,1,1,"GGK10,MPS14            ",PPV17 
[H86] 190,15.13875,-72.25806,7.5,3.162277660168379E7,-0.48,0.006291491308169231,75,MC0094,C,0.4,0.4,0,0,"CVH+06,PU99,MPS14      ",PPV17 
[H86] 174,14.324583,-72.93361,8.53,3.3884415613920206E8,-0.4,0.007564036240516447,0.1068,MC0094,C,0.45,0.45,3,3,"CVH+06,MPS14           ",PPV17 
[H86] 174,14.324583,-72.93361,8.53,3.3884415613920206E8,-0.4,0.007564036240516447,0.1068,MC0115,C,0.45,0.45,0,0,"CVH+06,MPS14           ",PPV17 
[H86] 70,10935,-72.97639,8.8,6.309573444801943E8,-0.4,0.007564036240516447,0.0827,MC0114,C,0.5,0.5,2,2,CVH+06                 ,PPV17 
NGC242,10.9025,-73.44444,7.83,6.760829753919819E7,-0.28,0.009971341744745678,96,MC0114,C,0.75,0.75,2,2,"CVH+06,PU99,MPS14      ",PPV17 
NGC265,11.7975,-73.476944,8.25,1.7782794100389227E8,-0.28,0.009971341744745678,0.1016,MC0114,C,1.2,1.2,3,3,"GGK10,CVH+06,PU99      ",PPV17 
NGC265,11.7975,-73.476944,8.25,1.7782794100389227E8,-0.28,0.009971341744745678,0.1016,MC0115,C,1.2,1.2,0,0,"GGK10,CVH+06,PU99      ",PPV17 
OGLE-CL SMC  340,18.72,-71.55028,8.23,1.698243652461746E8,-0.23,0.011188029451756188,0.0711,MC0095,C,2.6,2.3,0,0,RGB+07                 ,DH98  
Bruck 124,16.259167,-73.04222,8.05,1.1220184543019652E8,-0.18,0.012553175512144323,0.0836,MC0115,C,0.55,0.55,0,0,"GGK10,MPS14            ",PPV17 
Cl Kron 30,13.15,-72.19334,8.2,1.584893192461111E8,-0.18,0.012553175512144323,0.0793,MC0094,C,1.5,1.5,1,1,GGK10                  ,PPV17 
[H86] 188,15.0525,-72.46167,7.97,9.332543007969905E7,-0.1,0.015092236459761347,0.1069,MC0094,C,1.3,0.7,1,1,"CVH+06,PU99,MPS14      ",PPV17 
[H86] 90,11.857083,-73.45472,8.4,2.511886431509582E8,-0.1,0.015092236459761347,0.1016,MC0114,C,0.5,0.45,3,3,"GGK10,MPS14            ",PPV17 
[H86] 90,11.857083,-73.45472,8.4,2.511886431509582E8,-0.1,0.015092236459761347,0.1016,MC0115,C,0.5,0.45,0,0,"GGK10,MPS14            ",PPV17 
IC1612,15.00875,-72.36806,7.9,7.943282347242822E7,-0.1,0.015092236459761347,0.1031,MC0094,C,1.2,0.8,2,0,"GGK10,CVH+06,PU99      ",PPV17 
Cl Kron 42,15.141667,-72.365555,7.7,5.011872336272725E7,-0.1,0.015092236459761347,0.0844,MC0094,C,0.85,0.85,0,0,"GGK10,CVH+06,PU99      ",PPV17 
Cl Kron 43,15.205833,-73.34778,8.15,1.4125375446227553E8,-0.1,0.015092236459761347,0.0823,MC0115,C,1.2,1.2,2,2,"GGK10,MPS14            ",PPV17 
Cl Kron 47,15.7975,-72.272224,7.65,4.466835921509635E7,-0.1,0.015092236459761347,0.0917,MC0094,C,0.75,0.75,3,3,"GGK10,CVH+06,PU99,MPS14",PPV17 
Cl Kron 47,15.7975,-72.272224,7.65,4.466835921509635E7,-0.1,0.015092236459761347,0.0917,MC0095,C,0.75,0.75,0,0,"GGK10,CVH+06,PU99,MPS14",PPV17 
NGC241,10.883333,-73.43972,8.2,1.584893192461111E8,-0.1,0.015092236459761347,96,MC0114,C,0.95,0.95,2,2,"GGK10,CVH+06,PU99,MPS14",PPV17 
NGC256,11.475417,-73.50667,7.93,8.511380382023759E7,-0.1,0.015092236459761347,0.1083,MC0114,C,0.9,0.9,0,0,"GGK10,CVH+06,PU99      ",PPV17 
NGC256,11.475417,-73.50667,7.93,8.511380382023759E7,-0.1,0.015092236459761347,0.1083,MC0115,C,0.9,0.9,3,3,"GGK10,CVH+06,PU99      ",PPV17 
Bruck 6,6.997917,-74.40111,8.11,1.2882495516931322E8,-0.04,0.017328205947762285,0.0887,MC0133,C,0.6,0.6,0,0,DKB+16                 ,DKB+16
Bruck 103,15.2375,-73.15361,8.43,2.691534803926914E8,-0.01,0.018567507198160402,0.0855,MC0115,C,0.9,0.65,0,0,"GGK10,MPS14            ",PPV17 
Bruck 55,12.592083,-73.38695,8.21,1.621810097358933E8,-0.01,0.018567507198160402,0.0801,MC0115,C,0.7,0.6,1,1,"GGK10,CVH+06,PU99,MPS14",PPV17 
[BS95] 88,14.459167,-72.94361,9.26,1.8197008586099825E9,-0.01,0.018567507198160402,0.0938,MC0094,C,0.55,0.5,3,3,"CVH+06,PGC+14          ",PPV17 
[BS95] 88,14.459167,-72.94361,9.26,1.8197008586099825E9,-0.01,0.018567507198160402,0.0938,MC0115,C,0.55,0.5,2,0,"CVH+06,PGC+14          ",PPV17 
[H86] 76,11.50625,-73.39555,8.4,2.511886431509582E8,-0.01,0.018567507198160402,122,MC0114,C,0.45,0.45,1,1,MPS14                  ,PPV17 
[H86] 76,11.50625,-73.39555,8.4,2.511886431509582E8,-0.01,0.018567507198160402,122,MC0115,C,0.45,0.45,3,3,MPS14                  ,PPV17 
[H86] 87,11.770417,-73.37111,8.3,1.9952623149688828E8,-0.01,0.018567507198160402,0.1124,MC0114,C,0.8,0.7,3,3,"CVH+06,PU99,MPS14      ",PPV17 
[H86] 87,11.770417,-73.37111,8.3,1.9952623149688828E8,-0.01,0.018567507198160402,0.1124,MC0115,C,0.8,0.7,1,1,"CVH+06,PU99,MPS14      ",PPV17 
Cl Kron 25,12.004167,-73.486115,8.38,2.3988329190194947E8,-0.01,0.018567507198160402,0.0935,MC0114,C,1.2,1.2,3,3,"GGK10,CVH+06,PU99      ",PPV17 
Cl Kron 25,12.004167,-73.486115,8.38,2.3988329190194947E8,-0.01,0.018567507198160402,0.0935,MC0115,C,1.2,1.2,2,2,"GGK10,CVH+06,PU99      ",PPV17 
Cl Lindsay 39,12.262917,-73.361115,8.01,1.0232929922807537E8,-0.01,0.018567507198160402,0.0801,MC0115,C,0.7,0.55,0,0,"GGK10,CVH+06,PU99,MPS14",PPV17 
NGC306,13.5625,-72.24139,7.7,5.011872336272725E7,-0.01,0.018567507198160402,0.0834,MC0094,C,1.1,1.1,0,0,GGK10                  ,PPV17 
Bruck 10,9.435417,-73.210556,9.0,1.0E9,0.0,0.0,0.0818,MC0114,C,0.8,0.8,2,0,"GGK10,CVH+06           ",
Bruck 100,15.099583,-72.089165,8.1,1.2589254117941661E8,0.0,0.0,0.0738,MC0094,C,0.65,0.65,0,0,GGK10                  ,
Bruck 108,15.4625,-72.181946,8.75,5.623413251903491E8,0.0,0.0,0.0716,MC0094,C,0.8,0.8,3,3,"GGK10,CVH+06           ",
Bruck 108,15.4625,-72.181946,8.75,5.623413251903491E8,0.0,0.0,0.0716,MC0095,C,0.8,0.8,2,0,"GGK10,CVH+06           ",
Bruck 109,15.474167,-73.611115,9.4,2.511886431509582E9,0.0,0.0,0.0703,MC0115,C,0.7,0.7,2,2,GGK10                  ,
Bruck 110,15.540833,-72.005554,8.0,1.0E8,0.0,0.0,0.0732,MC0094,C,0.55,0.45,3,3,GGK10                  ,
Bruck 110,15.540833,-72.005554,8.0,1.0E8,0.0,0.0,0.0732,MC0095,C,0.55,0.45,2,0,GGK10                  ,
Bruck 112,15.600417,-72.001114,0.0,0.0,0.0,0.0,0.0756,MC0094,C,0.35,0.3,3,3,,
Bruck 112,15.600417,-72.001114,0.0,0.0,0.0,0.0,0.0756,MC0095,C,0.35,0.3,2,2,,
Bruck 115,15.846667,-72.65083,7.43,2.6915348039269138E7,0.0,0.0,0.0937,MC0095,C,0.9,0.8,2,0,"GGK10,CVH+06,PU99      ",
Bruck 117,16.0525,-73.26056,8.3,1.9952623149688828E8,0.0,0.0,0.0949,MC0115,C,0.65,0.65,0,0,GGK10                  ,
Bruck 119,16.080833,-73.16695,8.9,7.943282347242821E8,0.0,0.0,0.0907,MC0115,C,0.6,0.6,0,0,GGK10                  ,
Bruck 12,9.58625,-73.27111,9.0,1.0E9,0.0,0.0,0.0831,MC0114,C,0.45,0.35,0,0,CVH+06                 ,
Bruck 120,16.130833,-73.039444,0.0,0.0,0.0,0.0,0.0836,MC0115,C,0.45,0.35,2,2,,
Bruck 121,16.124582,-72.61916,8.07,1.1748975549395303E8,0.0,0.0,0.0918,MC0095,C,0.65,0.65,0,0,"GGK10,CVH+06,PU99      ",
Bruck 128,16.4625,-71.9525,8.35,2.238721138568338E8,0.0,0.0,0.0962,MC0095,C,0.7,0.45,0,0,"GGK10,CVH+06           ",
Bruck 129,16.758333,-72.62194,8.2,1.584893192461111E8,0.0,0.0,0.1045,MC0095,C,1.1,1.1,0,0,"GGK10,CVH+06,PU99      ",
Bruck 136,17.167084,-71.75889,8.7,5.011872336272715E8,0.0,0.0,0.0708,MC0095,C,0.85,0.8,2,2,GGK10                  ,
Bruck 137,17.61625,-72.95722,8.4,2.511886431509582E8,0.0,0.0,0.0928,MC0095,C,0.6,0.6,3,3,GGK10                  ,
Bruck 137,17.61625,-72.95722,8.4,2.511886431509582E8,0.0,0.0,0.0928,MC0116,C,0.6,0.6,1,1,GGK10                  ,
Bruck 139,17.610832,-71.56556,8.3,1.9952623149688828E8,0.0,0.0,72,MC0072,C,0.65,0.55,0,0,GGK10                  ,
Bruck 139,17.610832,-71.56556,8.3,1.9952623149688828E8,0.0,0.0,72,MC0095,C,0.65,0.55,0,0,GGK10                  ,
Bruck 143,18.183332,-72.75,8.25,1.7782794100389227E8,0.0,0.0,0.1019,MC0095,C,0.5,0.5,1,1,GGK10                  ,
Bruck 143,18.183332,-72.75,8.25,1.7782794100389227E8,0.0,0.0,0.1019,MC0116,C,0.5,0.5,3,3,GGK10                  ,
Bruck 149,18.646667,-72.99556,0.0,0.0,0.0,0.0,0.1022,MC0116,C,0.5,0.5,0,0,,
NoName_2,18.49375,-72.148056,0.0,0.0,0.0,0.0,0.0819,MC0095,C,0.3,0.3,0,0,,
Bruck 155,20.09875,-74.003334,8.7,5.011872336272715E8,0.0,0.0,0.1026,MC0116,C,0.55,0.55,0,0,PdGR+15                ,
Bruck 155,20.09875,-74.003334,8.7,5.011872336272715E8,0.0,0.0,0.1026,MC0136,C,0.55,0.55,0,0,PdGR+15                ,
Bruck 156,19.894583,-73.09639,7.5,3.162277660168379E7,0.0,0.0,0.1226,MC0116,C,0.65,0.45,0,0,GGK10                  ,
Bruck 18,10.276667,-72.72583,0.0,0.0,0.0,0.0,0.0822,MC0093,C,0.35,0.3,0,0,,
Bruck 18,10.276667,-72.72583,0.0,0.0,0.0,0.0,0.0822,MC0114,C,0.35,0.3,3,3,,
Bruck 19,10.184583,-73.06167,7.8,6.3095734448019296E7,0.0,0.0,93,MC0114,C,0.45,0.35,2,2,GGK10                  ,
Bruck 20,10.200417,-73.069725,0.0,0.0,0.0,0.0,93,MC0114,C,0.3,0.3,2,2,,
Bruck 21,10.313333,-72.83195,0.0,0.0,0.0,0.0,0.0817,MC0093,C,0.35,0.35,2,0,,
Bruck 21,10.313333,-72.83195,0.0,0.0,0.0,0.0,0.0817,MC0114,C,0.35,0.35,2,0,,
Bruck 22,10.33625,-72.824165,0.0,0.0,0.0,0.0,0.0817,MC0093,C,0.35,0.35,2,2,,
Bruck 22,10.33625,-72.824165,0.0,0.0,0.0,0.0,0.0817,MC0114,C,0.35,0.35,2,2,,
Bruck 23,10.230833,-73.4025,7.98,9.549925860214369E7,0.0,0.0,0.0813,MC0114,C,0.6,0.5,1,1,"GGK10,CVH+06,RZ05      ",
Bruck 26,10.187083,-73.74028,8.23,1.698243652461746E8,0.0,0.0,0.0813,MC0114,C,0.9,0.9,2,2,"GGK10,CVH+06           ",
Bruck 33,11.0525,-73.619446,8.4,2.511886431509582E8,0.0,0.0,0.0904,MC0114,C,0.5,0.5,0,0,CVH+06                 ,
Bruck 41,11.36375,-73.70361,8.0,1.0E8,0.0,0.0,0.0919,MC0114,C,0.5,0.5,0,0,GGK10                  ,
Bruck 44,11.564583,-74.37778,0.0,0.0,0.0,0.0,0.0848,MC0134,C,0.5,0.5,0,0,,
Bruck 50,12.260417,-73.36583,7.0,1.0E7,0.0,0.0,0.0904,MC0115,C,0.55,0.55,1,1,"GGK10,CVH+06           ",
Bruck 52,12.41625,-73.05861,8.5,3.1622776601683795E8,0.0,0.0,0.1061,MC0115,C,1.1,1.1,2,2,CVH+06                 ,
Bruck 54,12.618333,-73.20306,8.2,1.584893192461111E8,0.0,0.0,0.1,MC0115,C,0.65,0.65,1,1,"GGK10,CVH+06           ",
Bruck 56,12.72875,-73.20167,7.75,5.623413251903491E7,0.0,0.0,0.0908,MC0115,C,0.45,0.45,2,0,"CVH+06,PU99            ",
Bruck 64,13.1275,-73.04972,8.18,1.5135612484362072E8,0.0,0.0,0.0759,MC0115,C,0.7,0.7,2,0,"GGK10,CVH+06,PU99      ",
Bruck 66,13.197083,-72.795555,8.6,3.981071705534969E8,0.0,0.0,0.0981,MC0094,C,0.6,0.45,2,2,"GGK10,CVH+06           ",
Bruck 66,13.197083,-72.795555,8.6,3.981071705534969E8,0.0,0.0,0.0981,MC0115,C,0.6,0.45,2,2,"GGK10,CVH+06           ",
Bruck 67,13.202917,-73.412224,8.6,3.981071705534969E8,0.0,0.0,0.0904,MC0115,C,0.65,0.5,2,2,"CVH+06,PU99            ",
Bruck 70,13.359167,-71.7475,0.0,0.0,0.0,0.0,0.0866,MC0094,C,0.55,0.45,0,0,,
Bruck 71,13325,-72.76667,7.4,2.5118864315095823E7,0.0,0.0,0.0981,MC0094,C,0.85,0.85,0,0,"GGK10,CVH+06,PU99      ",
Bruck 71,13325,-72.76667,7.4,2.5118864315095823E7,0.0,0.0,0.0981,MC0115,C,0.85,0.85,0,0,"GGK10,CVH+06,PU99      ",
Bruck 72,13.3625,-72.68916,7.5,3.162277660168379E7,0.0,0.0,99,MC0094,C,0.9,0.7,2,2,"GGK10,CVH+06           ",
Bruck 74,13.49375,-72.200554,7.8,6.3095734448019296E7,0.0,0.0,0.0834,MC0094,C,1.0,0.75,2,2,GGK10                  ,
Bruck 78,13.690833,-72.125275,7.4,2.5118864315095823E7,0.0,0.0,0.0791,MC0094,C,1.1,0.8,1,1,GGK10                  ,
Bruck 79,13.697917,-72.465836,7.47,2.9512092266663842E7,0.0,0.0,89,MC0094,C,0.8,0.6,0,0,"GGK10,CVH+06,PU99      ",
Bruck 80,13.696667,-73.22305,8.53,3.3884415613920206E8,0.0,0.0,0.0831,MC0115,C,0.8,0.65,1,1,"GGK10,CVH+06,PU99      ",
Bruck 81,13.872083,-71.88556,7.8,6.3095734448019296E7,0.0,0.0,0.0842,MC0094,C,0.75,0.65,0,0,GGK10                  ,
Bruck 82,13.90125,-71.9825,8.0,1.0E8,0.0,0.0,0.0814,MC0094,C,0.65,0.55,0,0,GGK10                  ,
Bruck 83,13.876667,-73.07222,8.6,3.981071705534969E8,0.0,0.0,0.0806,MC0115,C,0.55,0.55,2,0,CVH+06                 ,
Bruck 87,14.026667,-73.776665,0.0,0.0,0.0,0.0,0.0801,MC0115,C,0.5,0.5,0,0,,
[RZ2005] 17,9.31625,-72.96222,0.0,0.0,0.0,0.0,0.0811,MC0093,C,0.45,0.45,3,3,,
[RZ2005] 17,9.31625,-72.96222,0.0,0.0,0.0,0.0,0.0811,MC0114,C,0.45,0.45,1,0,,
Bruck 92,14.547917,-72.00166,7.3,1.9952623149688788E7,0.0,0.0,77,MC0094,C,0.65,0.55,0,0,GGK10                  ,
